[0617/122023.835:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xbbc001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/122024.079:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xbbc001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/122024.356:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xbbc001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0617/122844.411:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x56dc001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/122845.503:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x56dc001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/122845.974:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x56dc001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/122846.459:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x56dc001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0617/123624.352:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xc7c00168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/123624.776:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xc7c00168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/123624.940:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xc7c00168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/123625.119:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xc7c00168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0617/124139.953:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x505c00168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/124140.949:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x505c00168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/124141.301:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x505c00168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/124141.729:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x505c00168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0617/125902.676:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1a6c001bc800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/125903.637:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1a6c001bc800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/125904.100:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1a6c001bc800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/125904.525:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1a6c001bc800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0617/131708.679:ERROR:gpu\ipc\client\command_buffer_proxy_impl.cc:285] ContextResult::kTransientFailure: Failed to send GpuControl.CreateCommandBuffer.
[0617/132212.898:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2c8c00168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/132213.459:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2c8c00168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/132213.697:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2c8c00168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/132214.028:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2c8c00168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0617/133822.473:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1f400168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/133823.268:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1f400168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/133823.602:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1f400168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/133823.887:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1f400168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0617/134640.284:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x48400168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/134641.068:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x48400168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/134641.385:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x48400168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/134641.685:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x48400168800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0617/142038.143:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4d5c00180800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/142038.788:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4d5c00180800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/142039.177:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4d5c00180800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0617/142039.701:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4d5c00180800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0618/073713.153:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x57f400178800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/073713.556:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x57f400178800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/073713.831:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x57f400178800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/073714.147:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x57f400178800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0618/073754.931:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x709c00178800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/073755.288:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x709c00178800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/073755.527:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x709c00178800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/073755.792:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x709c00178800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0618/074637.934:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x141400190800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/074638.248:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x141400190800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/074638.486:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x141400190800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/074638.753:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x141400190800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0618/075534.373:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7b74001bc200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/075534.853:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7b74001bc200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/075535.218:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7b74001bc200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/075535.640:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7b74001bc200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0618/080323.593:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1c3c001b8800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/080324.140:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1c3c001b8800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/080324.498:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1c3c001b8800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/080324.907:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1c3c001b8800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0618/080530.470:ERROR:gpu\ipc\client\command_buffer_proxy_impl.cc:285] ContextResult::kTransientFailure: Failed to send GpuControl.CreateCommandBuffer.
[0618/080533.260:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x48e400178800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/080534.199:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x48e400178800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/080534.451:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x48e400178800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/080534.933:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x48e400178800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
